"taxon_names","status","min.age","max.age","site"
"Gomphotherium angustidens","extinct",14.2,16.4,929
"Gomphotherium angustidens","extinct",14.2,16.4,930
"Gomphotherium angustidens","extinct",14.2,16.4,931
"Gomphotherium angustidens","extinct",14.2,16.4,932
"Gomphotherium angustidens","extinct",14.2,16.4,933
"Gomphotherium angustidens","extinct",12.85,14.2,934
"Gomphotherium angustidens","extinct",12.85,14.2,935
"Gomphotherium angustidens","extinct",12.85,14.2,936
"Gomphotherium angustidens","extinct",12.85,14.2,937
"Gomphotherium angustidens","extinct",12.85,14.2,938
"Gomphotherium angustidens","extinct",11.2,12.85,939
"Gomphotherium angustidens","extinct",11.2,12.85,940
"Gomphotherium angustidens","extinct",11.2,12.85,941
"Gomphotherium angustidens","extinct",9,11.2,942
"Gomphotherium angustidens","extinct",9.5,11.2,110
"Gomphotherium angustidens","extinct",9.5,11.2,943
"Gomphotherium angustidens","extinct",7.1,8.2,944
"Gomphotherium angustidens","extinct",16.4,17.2,218
"Gomphotherium angustidens","extinct",12.85,14.2,945
"Gomphotherium angustidens","extinct",12.85,14.2,946
"Gomphotherium angustidens","extinct",11.2,12.85,947
"Gomphotherium angustidens","extinct",9.5,11.2,948
"Gomphotherium angustidens","extinct",15.2,18,949
"Gomphotherium angustidens","extinct",15.2,18,950
"Gomphotherium angustidens","extinct",15.2,18,951
"Gomphotherium angustidens","extinct",16.4,17.2,952
"Gomphotherium angustidens","extinct",16.4,17.2,953
"Gomphotherium angustidens","extinct",16.4,17.2,224
"Gomphotherium angustidens","extinct",16.4,17.2,225
"Gomphotherium angustidens","extinct",16.4,17.2,226
"Gomphotherium angustidens","extinct",15.2,17,954
"Gomphotherium angustidens","extinct",16.318,16.583,955
"Gomphotherium angustidens","extinct",14.2,16.4,232
"Gomphotherium angustidens","extinct",14.2,16.4,234
"Gomphotherium angustidens","extinct",14.2,16.4,236
"Gomphotherium angustidens","extinct",14.2,16.4,238
"Gomphotherium angustidens","extinct",14.2,16.4,956
"Gomphotherium angustidens","extinct",14.2,16.4,241
"Gomphotherium angustidens","extinct",14.2,16.4,242
"Gomphotherium angustidens","extinct",14.2,16.4,957
"Gomphotherium angustidens","extinct",12.5,16.4,958
"Gomphotherium angustidens","extinct",14.2,16.4,959
"Gomphotherium angustidens","extinct",14.2,16.4,245
"Gomphotherium angustidens","extinct",14.2,16.4,246
"Gomphotherium angustidens","extinct",14.2,16.4,960
"Gomphotherium angustidens","extinct",14.2,16.4,961
"Gomphotherium angustidens","extinct",14.2,16.4,247
"Gomphotherium angustidens","extinct",14.2,16.4,962
"Gomphotherium angustidens","extinct",14.2,16.4,248
"Gomphotherium angustidens","extinct",14.2,16.4,963
"Gomphotherium angustidens","extinct",14.2,16.4,251
"Gomphotherium angustidens","extinct",14.2,16.4,252
"Gomphotherium angustidens","extinct",14.2,16.4,254
"Gomphotherium angustidens","extinct",14.2,16.4,255
"Gomphotherium angustidens","extinct",14.2,16.4,256
"Gomphotherium angustidens","extinct",14.2,16.4,257
"Gomphotherium angustidens","extinct",14.2,16.4,964
"Gomphotherium angustidens","extinct",14.2,16.4,965
"Gomphotherium angustidens","extinct",14.2,16.4,258
"Gomphotherium angustidens","extinct",12.5,15.2,966
"Gomphotherium angustidens","extinct",12.85,14.2,261
"Gomphotherium angustidens","extinct",12.85,14.2,967
"Gomphotherium angustidens","extinct",12.85,14.2,262
"Gomphotherium angustidens","extinct",12.85,14.2,263
"Gomphotherium angustidens","extinct",12.85,14.2,129
"Gomphotherium angustidens","extinct",12.85,14.2,131
"Gomphotherium angustidens","extinct",11.2,14.2,264
"Gomphotherium angustidens","extinct",9.5,12.85,968
"Gomphotherium angustidens","extinct",11.2,12.85,969
"Gomphotherium angustidens","extinct",11.2,12.85,134
"Gomphotherium angustidens","extinct",11.2,12.85,137
"Gomphotherium angustidens","extinct",11.2,12.85,970
"Gomphotherium angustidens","extinct",11.2,12.85,971
"Gomphotherium angustidens","extinct",11.2,12.85,138
"Gomphotherium angustidens","extinct",11.2,12.85,972
"Gomphotherium angustidens","extinct",9.5,12.85,973
"Gomphotherium angustidens","extinct",11.2,12.85,141
"Gomphotherium angustidens","extinct",11.2,12.85,142
"Gomphotherium angustidens","extinct",11.2,12.85,974
"Gomphotherium angustidens","extinct",11.2,12.85,146
"Gomphotherium angustidens","extinct",11.2,12.85,975
"Gomphotherium angustidens","extinct",11.2,12.85,150
"Gomphotherium angustidens","extinct",11.2,12.85,152
"Gomphotherium angustidens","extinct",11.2,12.85,976
"Gomphotherium angustidens","extinct",9.5,11.2,977
"Gomphotherium angustidens","extinct",9.5,11.2,181
"Gomphotherium annectens","extinct",16.4,17.2,978
"Gomphotherium browni","extinct",13.094,13.263,980
"Gomphotherium browni","extinct",16.4,17.2,337
"Gomphotherium connexum","extinct",11.2,15.2,981
"Gomphotherium connexum","extinct",12.5,15.2,982
"Gomphotherium cooperi","extinct",17.2,19.5,336
"Gomphotherium cooperi","extinct",16.4,17.2,337
"Gomphotherium cooperi","extinct",16.4,17.2,983
"Gomphotherium hannibali","extinct",16.4,19.5,984
"Gomphotherium inopinatum","extinct",14.2,16.4,985
"Gomphotherium mongoliense","extinct",15.6,18.45,986
"Gomphotherium mongoliense","extinct",13.82,15.97,987
"Gomphotherium steinheimense","extinct",9.5,12.85,973
"Gomphotherium steinheimense","extinct",9.5,12.85,1017
"Gomphotherium steinheimense","extinct",9.5,12.85,1018
"Gomphotherium steinheimense","extinct",11.2,12.85,1019
"Gomphotherium steinheimense","extinct",9.5,11.2,182
"Gomphotherium subtapiroideum","extinct",11.2,12.5,1020
"Gomphotherium subtapiroideum","extinct",16.4,17.2,222
"Gomphotherium subtapiroideum","extinct",14.2,16.4,1021
"Gomphotherium subtapiroideum","extinct",13.5,14,1022
"Gomphotherium subtapiroideum","extinct",9.5,11.2,1023
"Gomphotherium sylvaticum","extinct",16.4,17.2,917
"Gomphotherium sylvaticum","extinct",17.2,19.5,1024
"Gomphotherium sylvaticum","extinct",16.4,17.2,1025
"Gomphotherium sylvaticum","extinct",16.4,17.2,228
"Gomphotherium tassyi","extinct",11.1,13.5,1026
"Gomphotherium tassyi","extinct",11.1,13.5,1027
"Gomphotherium tassyi","extinct",11.1,12.85,1028
"Gomphotherium wimani","extinct",11.2,15.2,981
"Gomphotherium wimani","extinct",11.2,12.5,1029
"Gomphotherium wimani","extinct",11.2,12.5,1030
"Gomphotherium wimani","extinct",11.2,12.5,1031
"Gomphotherium wimani","extinct",5.3,9,1032
"Konobelodon atticus","extinct",7,7,94
"Konobelodon atticus","extinct",7.1,8.2,205
"Konobelodon atticus","extinct",7.1,8.2,206
"Konobelodon atticus","extinct",6.9,7.2,208
"Konobelodon atticus","extinct",9,9.5,124
"Konobelodon atticus","extinct",7.1,8.2,880
"Konobelodon atticus","extinct",7.1,8.2,710
"Konobelodon atticus","extinct",5.3,7.1,1033
"Konobelodon robustus","extinct",9.7,11.5,1039
"Konobelodon robustus","extinct",9.5,11.2,1040
"Konobelodon robustus","extinct",9,9.5,1041
"Konobelodon robustus","extinct",9,9.5,1042
"Konobelodon robustus","extinct",9,9.5,1043
"Konobelodon robustus","extinct",9,9.5,1044
"Konobelodon robustus","extinct",9,9.5,1045
"Konobelodon robustus","extinct",9,9.5,1046
"Paratetralophodon exoletus","extinct",9.5,11.2,1049
"Paratetralophodon exoletus","extinct",9,11.2,1050
"Paratetralophodon exoletus","extinct",9,11.2,1051
"Paratetralophodon exoletus","extinct",9,11.2,1052
"Paratetralophodon exoletus","extinct",9.5,11.2,1053
"Paratetralophodon exoletus","extinct",9,9.5,1054
"Paratetralophodon exoletus","extinct",5.3,9,1032
"Paratetralophodon exoletus","extinct",7.1,8.2,1055
"Paratetralophodon exoletus","extinct",5.3,7.1,1056
"Paratetralophodon exoletus","extinct",5.3,7.1,1057
"Paratetralophodon hasnotensis","extinct",5.3,9,1058
"Paratetralophodon hasnotensis","extinct",5.3,9,1059
"Platybelodon dangheensis","extinct",18.317,20.162,1063
"Platybelodon danovi","extinct",11.2,12.85,1064
"Platybelodon danovi","extinct",9,10.1,1065
"Platybelodon danovi","extinct",15.2,17,1066
"Platybelodon danovi","extinct",14.2,16.4,211
"Platybelodon danovi","extinct",9.5,11.2,948
"Platybelodon grangeri","extinct",14.8,16.4,1067
"Platybelodon grangeri","extinct",11.2,15.2,1068
"Platybelodon grangeri","extinct",12.85,14.2,1069
"Platybelodon grangeri","extinct",11.1,13.5,1026
"Platybelodon grangeri","extinct",11.1,13.5,1027
"Platybelodon grangeri","extinct",11.2,12.85,1070
"Platybelodon grangeri","extinct",11.2,12.85,1071
"Platybelodon grangeri","extinct",11.2,12.85,1072
"Platybelodon grangeri","extinct",11.2,12.85,1073
"Platybelodon grangeri","extinct",11.2,12.85,1074
"Platybelodon grangeri","extinct",11.2,12.85,1075
"Platybelodon grangeri","extinct",11.2,12.85,1076
"Platybelodon grangeri","extinct",11.2,12.85,1077
"Platybelodon grangeri","extinct",11.2,12.85,1078
"Platybelodon grangeri","extinct",11.2,12.5,1079
"Platybelodon grangeri","extinct",11.2,12.5,1020
"Platybelodon grangeri","extinct",9.5,11.2,1080
"Platybelodon tongxinensis","extinct",12.5,15.2,1081
"Platybelodon tongxinensis","extinct",12.5,15.2,1082
"Platybelodon tongxinensis","extinct",12.5,15.2,1083
"Platybelodon tongxinensis","extinct",13.5,15,1084
"Platybelodon tongxinensis","extinct",12.85,14.2,1085
"Protanancus brevirostris","extinct",13.5,15,826
"Protanancus chinjiensis","extinct",11.2,12.85,1086
"Protanancus chinjiensis","extinct",16.4,17.2,337
"Protanancus tobieni","extinct",13.5,15,1084
"Sinomastodon bumiajuensis","extinct",1.5,2.588,700
"Sinomastodon bumiajuensis","extinct",1.5,2.588,700
"Sinomastodon bumiajuensis","extinct",1.2,1.8,1104
"Sinomastodon bumiajuensis","extinct",1.2,1.8,1104
"Sinomastodon huananensis","extinct",2.6,5.3,1105
"Sinomastodon huananensis","extinct",2.6,5.3,1106
"Sinomastodon intermedius","extinct",3.6,4.9,809
"Sinomastodon jiangnanensis","extinct",1.2,1.2,1107
"Sinomastodon praeintermedius","extinct",6,6.5,1108
"Sinomastodon sendaicus","extinct",4.5,5.33,1109
"Sinomastodon yangziensis","extinct",1.77,2.14,1110
"Sinomastodon yangziensis","extinct",1.77,2.14,1111
"Sinomastodon yangziensis","extinct",1.77,2.14,1112
"Sinomastodon yangziensis","extinct",1.77,2.14,1113
"Sinomastodon yangziensis","extinct",1.2,1.8,1114
"Sinomastodon yangziensis","extinct",0.78,1.77,1115
"Sinomastodon yangziensis","extinct",0.78,1.77,1116
"Sinomastodon yangziensis","extinct",0.78,1.77,1117
"Sinomastodon yangziensis","extinct",0.78,1.77,1118
"Sinomastodon yangziensis","extinct",0.6,1.3,1119
"Tetralophodon euryrostris","extinct",9,9.5,1172
"Tetralophodon longirostris","extinct",11.5,12.2,1173
"Tetralophodon longirostris","extinct",9.5,11.2,1174
"Tetralophodon longirostris","extinct",9.5,11.2,1175
"Tetralophodon longirostris","extinct",9.5,10.35,84
"Tetralophodon longirostris","extinct",9.5,10.35,84
"Tetralophodon longirostris","extinct",9,9.5,86
"Tetralophodon longirostris","extinct",8.2,9.5,834
"Tetralophodon longirostris","extinct",9,9.5,1176
"Tetralophodon longirostris","extinct",7.1,9,88
"Tetralophodon longirostris","extinct",7.1,8.2,203
"Tetralophodon longirostris","extinct",7.1,8.2,89
"Tetralophodon longirostris","extinct",7.1,8.2,91
"Tetralophodon longirostris","extinct",9.5,12.85,1178
"Tetralophodon longirostris","extinct",11.2,12.85,102
"Tetralophodon longirostris","extinct",11.2,12.85,104
"Tetralophodon longirostris","extinct",9,11.2,1179
"Tetralophodon longirostris","extinct",9.5,11.2,1180
"Tetralophodon longirostris","extinct",9.5,11.2,1181
"Tetralophodon longirostris","extinct",9.5,11.2,1182
"Tetralophodon longirostris","extinct",9,11.2,109
"Tetralophodon longirostris","extinct",9.5,11.2,111
"Tetralophodon longirostris","extinct",9.5,11.2,943
"Tetralophodon longirostris","extinct",10.94,10.989,112
"Tetralophodon longirostris","extinct",9.491,9.592,113
"Tetralophodon longirostris","extinct",9,9.5,114
"Tetralophodon longirostris","extinct",9,9.5,1183
"Tetralophodon longirostris","extinct",9,9.5,1184
"Tetralophodon longirostris","extinct",9,9.5,1185
"Tetralophodon longirostris","extinct",9,9.5,115
"Tetralophodon longirostris","extinct",9.149,9.428,116
"Tetralophodon longirostris","extinct",8.2,9,117
"Tetralophodon longirostris","extinct",7.1,9,1186
"Tetralophodon longirostris","extinct",8.2,9,118
"Tetralophodon longirostris","extinct",8.2,9,1187
