species,region,Site,maximum age,minimum age,family,Notes on earliest occurrences
Mammut americanum,Northern America,White Bluffs_siteSet_1,"4,9","1,8",Mammutidae,
Anancus arvernensis,Central Asia,Kojbyn river_siteSet_1,"4,87","3,5",Gomphotheriidae,
Anancus kazachstanensis,Central Asia,Ajgyrzhal_siteSet_1,"4,825","3,875",Gomphotheriidae,
Anancus kazachstanensis,Central Asia,Zhabyrtau_siteSet_1,"4,825","3,875",Gomphotheriidae,
Anancus kenyensis,Eastern Africa,As Duma_siteSet_1,"4,51","4,32",Gomphotheriidae,
Elephas ekorensis,Eastern Africa,Manonga 3_siteSet_1,"4,5",4,Elephantidae,
Loxodonta exoptata,Eastern Africa,Manonga 3_siteSet_1,"4,5",4,Elephantidae,
Anancus arvernensis,Central Asia,Fort Aleksandrovskij_siteSet_1,"4,42","2,6",Gomphotheriidae,
Anancus arvernensis,Eastern Europe,Odessa 3_siteSet_1,"4,42","3,5",Gomphotheriidae,
Anancus ultimus,Eastern Africa,Lower Laetoli Beds_siteSet_1,"4,4","3,85",Gomphotheriidae,
Deinotherium bozasi,Eastern Africa,Southern Allia Bay Plains_siteSet_1,"4,35","3,94",Deinotheriidae,
Anancus kenyensis,Eastern Africa,Galili 2_siteSet_1,"4,2","3,6",Gomphotheriidae,
Deinotherium bozasi,Eastern Africa,Galili 2_siteSet_1,"4,2","3,6",Deinotheriidae,
Loxodonta adaurora,Eastern Africa,Galili 2_siteSet_1,"4,2","3,6",Elephantidae,
Loxodonta exoptata,Eastern Africa,Galili 2_siteSet_1,"4,2","3,6",Elephantidae,
Anancus kenyensis,Eastern Africa,Galili 4_siteSet_1,"4,2","3,6",Gomphotheriidae,
Deinotherium bozasi,Eastern Africa,Galili 4_siteSet_1,"4,2","3,6",Deinotheriidae,
Elephas ekorensis,Eastern Africa,Galili 4_siteSet_1,"4,2","3,6",Elephantidae,
Loxodonta adaurora,Eastern Africa,Galili 4_siteSet_1,"4,2","3,6",Elephantidae,
Loxodonta exoptata,Eastern Africa,Galili 4_siteSet_1,"4,2","3,6",Elephantidae,
Anancus arvernensis,Eastern Europe,Capeni_siteSet_1,"4,2","3,4",Gomphotheriidae,
Mammut borsoni,Eastern Europe,Capeni_siteSet_1,"4,2","3,4",Mammutidae,
Anancus osiris,Northern Africa,Garaet Ichkeul_siteSet_1,"4,2","3,4",Gomphotheriidae,
