"species","region","minimum.age","maximum.age","family","Site"
"Mammuthus meridionalis","Eurasia","1.1","1.3","Elephantidae",537
"Mammuthus meridionalis","Eurasia","1.95","2.675","Elephantidae",538
"Mammuthus meridionalis","Eurasia","1.95","2.675","Elephantidae",539
"Mammuthus meridionalis","Eurasia","1.95","2.675","Elephantidae",540
"Mammuthus meridionalis","Eurasia","1.95","2.6","Elephantidae",541
"Mammuthus meridionalis","Eurasia","1.95","2.6","Elephantidae",542
"Mammuthus meridionalis","Eurasia","1.95","2.6","Elephantidae",543
"Mammuthus meridionalis","Eurasia","1.95","2.6","Elephantidae",544
"Mammuthus meridionalis","Eurasia","2","2","Elephantidae",545
"Mammuthus meridionalis","Eurasia","0.5","1","Elephantidae",546
"Mammuthus primigenius","Eurasia","0.117","0.781","Elephantidae",547
"Mammuthus primigenius","Eurasia","0.126","0.781","Elephantidae",548
"Mammuthus primigenius","Eurasia","0.126","0.781","Elephantidae",549
"Mammuthus primigenius","Eurasia","0.012","0.126","Elephantidae",550
"Mammuthus primigenius","Eurasia","0.012","0.126","Elephantidae",551
"Mammuthus primigenius","Eurasia","0.012","0.126","Elephantidae",552
"Mammuthus primigenius","Eurasia","0.012","0.126","Elephantidae",553
"Mammuthus primigenius","Eurasia","0.004","0.009","Elephantidae",554
"Mammuthus primigenius","North America","0.126","0.781","Elephantidae",555
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",556
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",557
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",558
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",559
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",560
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",561
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",562
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",563
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",564
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",565
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",566
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",567
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",568
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",569
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",467
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",468
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",570
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",571
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",572
"Mammuthus primigenius","North America","0.012","0.126","Elephantidae",573
"Mammuthus primigenius","North America","0.01","0.012","Elephantidae",574
"Mammuthus primigenius","Eurasia","0.012","0.126","Elephantidae",575
"Mammuthus primigenius","Eurasia","0.01","0.126","Elephantidae",576
"Mammuthus primigenius","Eurasia","0.012","0.126","Elephantidae",577
"Mammuthus primigenius","Eurasia","0.012","0.126","Elephantidae",578
"Mammuthus primigenius","Eurasia","0.012","0.126","Elephantidae",579
